"","FechaInicio","Delito","Categoria","Sexo","Edad","CalidadJuridica","FechaHecho","HoraHecho","HoraInicio","geopoint","AlcaldiaHechos","ColoniaHechos","persona_fisica"
"573","23/12/2019","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA","Masculino",29,"VICTIMA Y DENUNCIANTE","23/12/2019",21:35:00,22:46:00,"19.4504794627,-99.1322195949","CUAUHTEMOC","MORELOS",TRUE
"574","23/12/2019","USURPACIÓN DE IDENTIDAD","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","04/12/2019",23:00:00,22:53:00,"19.4356366993,-99.2021931002","MIGUEL HIDALGO","POLANCO",TRUE
"575","23/12/2019","ROBO DE OBJETOS","DELITO DE BAJO IMPACTO","Femenino",49,"VICTIMA Y DENUNCIANTE","23/12/2019",19:30:00,23:06:00,"19.2931347029,-99.1239560996","TLALPAN","PLAZA COAPA",TRUE
"576","23/12/2019","ABUSO DE CONFIANZA","DELITO DE BAJO IMPACTO","Femenino",43,"VICTIMA Y DENUNCIANTE","23/12/2019",21:40:00,23:07:00,"19.3856945365,-99.122174225","IZTACALCO","CAMPAMENTO 2 DE OCTUBRE",TRUE
"577","23/12/2019","FRAUDE","DELITO DE BAJO IMPACTO","Masculino",37,"VICTIMA Y DENUNCIANTE","21/12/2019",14:58:00,23:21:00,"19.4755065607,-99.0881419463","GUSTAVO A MADERO","AMPLIACIÓN CASAS ALEMÁN",TRUE
"578","23/12/2019","INTIMIDACION","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","09/10/2019",19:00:00,23:22:00,"19.421986912,-99.1479143584","CUAUHTEMOC","DOCTORES",TRUE
"579","23/12/2019","ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA","ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA","Femenino",51,"VICTIMA Y DENUNCIANTE","23/12/2019",20:15:00,23:41:00,"19.2416394034,-99.0061253003","TLAHUAC","EL ROSARIO",TRUE
"580","23/12/2019","ROBO DE MOTOCICLETA CON VIOLENCIA","ROBO DE VEHÍCULO CON Y SIN VIOLENCIA","Masculino",33,"VICTIMA Y DENUNCIANTE","23/12/2019",20:15:00,23:50:00,"19.508612308,-99.1591449379","GUSTAVO A MADERO","NUEVA INDUSTRIAL VALLEJO",TRUE
"581","24/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",55,"VICTIMA Y DENUNCIANTE","23/12/2019",20:30:00,00:26:00,"19.4688924644,-99.150270534","AZCAPOTZALCO","ALDANA",TRUE
"582","24/12/2019","AMENAZAS","DELITO DE BAJO IMPACTO","Femenino",NA,"VICTIMA Y DENUNCIANTE","23/12/2019",15:00:00,00:30:00,"19.3222047322,-99.208519536","ALVARO OBREGON","JARDINES DEL PEDREGAL",TRUE
"583","24/12/2019","ROBO A NEGOCIO SIN VIOLENCIA","DELITO DE BAJO IMPACTO","Masculino",25,"VICTIMA Y DENUNCIANTE","22/12/2019",12:01:00,00:48:00,"19.3608994982,-99.1133085002","IZTAPALAPA","ESCUADRÓN 201",TRUE
"584","24/12/2019","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","ROBO DE VEHÍCULO CON Y SIN VIOLENCIA","Femenino",52,"VICTIMA Y DENUNCIANTE","23/12/2019",23:00:00,01:01:00,"19.2992752024,-99.0541648997","TLAHUAC","LA NOPALERA",TRUE
"585","24/12/2019","ROBO DE VEHICULO DE SERVICIO PARTICULAR SIN VIOLENCIA","ROBO DE VEHÍCULO CON Y SIN VIOLENCIA","Masculino",53,"VICTIMA Y DENUNCIANTE","23/12/2019",22:30:00,01:15:00,"19.478668259,-99.1776795201","AZCAPOTZALCO","LIBERTAD",TRUE
"586","24/12/2019","DAÑO EN PROPIEDAD AJENA CULPOSA POR TRÁNSITO VEHICULAR A AUTOMOVIL","DELITO DE BAJO IMPACTO","Femenino",65,"VICTIMA Y DENUNCIANTE","23/12/2019",23:20:00,01:16:00,"19.267574603,-99.1694592002","TLALPAN","SAN PEDRO MÁRTIR",TRUE
"587","24/12/2019","INSOLVENCIA ALIMENTARIA","DELITO DE BAJO IMPACTO","Femenino",NA,"VICTIMA Y DENUNCIANTE","09/07/2012",12:00:00,01:19:00,"19.2905002997,-99.1485908","TLALPAN","SAN LORENZO HUIPULCO",TRUE
"588","24/12/2019","PERDIDA DE LA VIDA POR PARO CARDIACO","HECHO NO DELICTIVO","Masculino",25,"CADAVER","23/12/2019",23:00:00,02:26:00,"19.3638251034,-98.9947791997","IZTAPALAPA","ERMITA ZARAGOZA",TRUE
"589","24/12/2019","LESIONES CULPOSAS POR CAIDA","DELITO DE BAJO IMPACTO","Masculino",69,"LESIONADO","22/12/2019",12:00:00,03:07:00,"19.4615726022,-99.1578730001","CUAUHTEMOC","ATLAMPA",TRUE
"590","24/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",25,"VICTIMA Y DENUNCIANTE","17/12/2019",20:50:00,03:13:00,"19.3332876707,-99.0891527103","IZTAPALAPA","SAN JUAN XALPA",TRUE
"591","24/12/2019","VIOLENCIA FAMILIAR","DELITO DE BAJO IMPACTO","Femenino",24,"VICTIMA Y DENUNCIANTE","23/12/2019",20:00:00,03:18:00,"19.29378322,-99.0100026674","TLAHUAC","GUADALUPE TLALTENCO",TRUE
"592","24/12/2019","PERDIDA DE LA VIDA POR INTOXICACION","HECHO NO DELICTIVO","Masculino",75,"CADAVER","24/12/2019",00:05:00,03:19:00,"19.3895763998,-99.1843744115","BENITO JUAREZ","SAN PEDRO DE LOS PINOS",TRUE
"593","24/12/2019","PERDIDA DE LA VIDA POR INTOXICACION","HECHO NO DELICTIVO","Femenino",NA,"CADAVER","24/12/2019",00:05:00,03:19:00,"19.3895763998,-99.1843744115","BENITO JUAREZ","SAN PEDRO DE LOS PINOS",TRUE
"594","24/12/2019","DAÑO EN PROPIEDAD AJENA INTENCIONAL A BIENES INMUEBLES","DELITO DE BAJO IMPACTO","Masculino",50,"VICTIMA Y DENUNCIANTE","24/12/2019",03:00:00,03:44:00,"19.3414344519,-99.2036853407","ALVARO OBREGON","PROGRESO",TRUE
"595","24/12/2019","FALSIFICACION DE DOCUMENTOS","DELITO DE BAJO IMPACTO","Masculino",NA,"VICTIMA Y DENUNCIANTE","09/10/2019",12:00:00,04:08:00,"19.3459005823,-99.1751492506","COYOACAN","ROMERO DE TERREROS",TRUE
"596","24/12/2019","INSOLVENCIA ALIMENTARIA","DELITO DE BAJO IMPACTO","Femenino",NA,"VICTIMA Y DENUNCIANTE","16/08/2019",10:00:00,04:59:00,"19.318419365,-99.1430461109","COYOACAN","EL RELOJ",TRUE
